,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal
1176,random-70-16.00-0,CP-DEL,70,3819.0,5.63,1.8889065848678868,1382.0,113.0,1800.01,0,0,614162,1265240,0.14230691411339655
1177,random-90-13.00-0,CP-DEL,90,4429.0,42.06,1.3175635992940757,2226.0,173.0,1800.01,0,0,356125,728912,0.25924798981070574
1178,random-80-13.12-0,CP-DEL,80,2237.0,168.0,0.4387143001795614,1797.0,155.0,1800.01,0,0,865949,1777571,0.22180048922413662
1179,random-90-9.64-0,CP-DEL,90,0,0,0,0,181.0,1800.0,0,0,12213,25898,-1
1180,random-80-16.00-0,CP-DEL,80,3568.0,3.63,1.5864403648054,1605.0,99.0,1800.01,0,0,480900,1007409,0.2594329888621982
1181,random-70-13.12-0,CP-DEL,70,3853.0,522.88,1.699706170148424,1656.0,138.0,1800.01,0,0,192156,401773,1.1409431953788736
1182,random-200-60.00-0,CP-DEL,200,0,0,0,0,1.0,1800.09,0,0,1450,46227,-1
1183,random-100-19.68-0,CP-DEL,100,0,0,0,0,10.0,1800.01,0,0,11650,33664,-1
1184,random-150-60.00-0,CP-DEL,150,7515.0,544.58,4.106608113179202,1591.0,32.0,1800.03,0,0,60779,157723,1.399262737752318
1185,random-150-32.80-0,CP-DEL,150,7822.0,451.6,3.192019773438497,2317.0,61.0,1800.02,0,0,331059,689323,1.0240976894507328
1186,random-200-20.96-0,CP-DEL,200,0,0,0,0,56.0,1800.07,0,0,746,26227,-1
1187,random-150-6.00-0,CP-DEL,150,0,0,0,0,438.0,1800.0,0,0,18301,36640,-1
1188,random-100-15.00-0,CP-DEL,100,2748.0,848.19,0.40988456307847376,2386.0,163.0,1800.0,0,0,113845,239190,0.3187919539516741
1189,random-150-46.40-0,CP-DEL,150,7692.0,270.21,3.734435634815862,2022.0,46.0,1800.0,0,0,24234,78211,2.6722712167075744
1190,random-200-8.00-0,CP-DEL,200,0,0,0,0,448.0,1800.03,0,0,8369,16948,-1
1191,random-100-10.68-0,CP-DEL,100,3200.0,82.28,0.35250487726997287,3190.0,278.0,1800.05,0,0,975743,1954277,0.34847150109326425
1192,random-150-19.68-0,CP-DEL,150,0,0,0,0,41.0,1800.05,0,0,7017,31593,-1
1193,random-200-47.12-0,CP-DEL,200,2826.0,1263.69,0.2533463661210018,2826.0,1.0,1800.02,0,0,2424,47027,0.2533463661210018
1194,random-100-24.00-0,CP-DEL,100,2215.0,91.84,0.4496151824797232,1811.0,72.0,1800.01,0,0,213565,458338,0.21492663658207592
1195,random-200-32.00-0,CP-DEL,200,0,0,0,0,10.0,1800.04,0,0,3244,45313,-1
1196,random-20-5.00-0,CP-ADD,20,996.0,0.55,0.5514018691588785,642.0,642.0,87.63,0,0,461476,768250,0.0010592852197992381
1197,random-10-5.00-0,CP-ADD,10,461.0,0.0,0.26301369863013696,365.0,365.0,1.53,0,0,24633,23503,0.0
1198,random-40-2.00-0,CP-ADD,40,0,0,0,0,0,0,0,0,0,0,-1
1199,random-30-7.60-0,CP-ADD,30,1064.0,0.34,0.37043077218699905,826.0,301.0,1800.04,0,0,3416430,6032336,0.07713822224611552
1200,random-20-10.00-0,CP-ADD,20,874.0,0.1,0.9954337899543378,438.0,438.0,895.82,0,0,4483499,7550028,0.007068759512937594
1201,random-30-2.60-0,CP-ADD,30,0,0,0,0,0.0,0.1,0,0,1,0,-1
1202,random-20-0.00-0,CP-ADD,20,0,0,0,0,0,0,0,0,0,0,-1
1203,random-20-7.60-0,CP-ADD,20,1002.0,0.22,0.8764044943820225,534.0,534.0,359.88,0,0,1641931,2781103,0.004440771951727007
1204,random-40-7.00-0,CP-ADD,40,0,0,0,0,128.0,1800.0,0,0,380391,767024,-1
1205,random-30-0.00-0,CP-ADD,30,0,0,0,0,0,0,0,0,0,0,-1
1206,random-20-2.60-0,CP-ADD,20,0,0,0,0,234.0,37.66,0,0,21198,34234,-1
1207,random-40-4.60-0,CP-ADD,40,0,0,0,0,356.0,1579.32,0,0,44619,55165,-1
1208,random-30-10.00-0,CP-ADD,30,998.0,0.29,0.5193723461545201,659.0,299.0,1800.03,0,0,4084432,7370023,0.0349333295504535
1209,random-30-5.00-0,CP-ADD,30,1691.0,565.54,0.3517186250999201,1251.0,1251.0,1132.13,0,0,1482856,2414415,0.12350257127631228
1210,random-100-6.00-0,CP-ADD,100,0,0,0,0,367.0,1800.0,0,0,6670,16604,-1
1211,random-80-7.12-0,CP-ADD,80,0,0,0,0,197.0,1800.0,0,0,72068,150232,-1
1212,random-90-20.00-0,CP-ADD,90,0,0,0,0,3.0,1800.0,0,0,25014,60507,-1
1213,random-80-4.00-0,CP-ADD,80,0,0,0,0,329.0,1800.0,0,0,9485,20475,-1
1214,random-70-10.00-0,CP-ADD,70,0,0,0,0,106.0,1800.0,0,0,23586,52180,-1
1215,random-80-10.00-0,CP-ADD,80,0,0,0,0,128.0,1800.0,0,0,30029,66751,-1
1216,random-90-16.64-0,CP-ADD,90,0,0,0,0,5.0,1800.0,0,0,22742,55573,-1
1217,random-90-6.00-0,CP-ADD,90,0,0,0,0,343.0,1800.0,0,0,9114,20612,-1
1218,random-70-16.00-0,CP-ADD,70,0,0,0,0,18.0,1800.0,0,0,102422,216334,-1
1219,random-90-13.00-0,CP-ADD,90,0,0,0,0,77.0,1800.0,0,0,43734,97655,-1
1220,random-80-13.12-0,CP-ADD,80,0,0,0,0,72.0,1800.0,0,0,53414,116812,-1
1221,random-90-9.64-0,CP-ADD,90,0,0,0,0,181.0,1800.0,0,0,6064,17785,-1
1222,random-80-16.00-0,CP-ADD,80,0,0,0,0,16.0,1800.0,0,0,20826,50804,-1
1223,random-70-13.12-0,CP-ADD,70,0,0,0,0,36.0,1800.0,0,0,76597,162321,-1
1224,random-200-60.00-0,CP-ADD,200,0,0,0,0,1.0,1800.06,0,0,1517,47385,-1
1225,random-100-19.68-0,CP-ADD,100,0,0,0,0,10.0,1800.0,0,0,17345,47578,-1
1226,random-150-60.00-0,CP-ADD,150,2295.0,68.34,0.5595030764798761,1681.0,32.0,1800.06,0,0,262522,576835,0.3268990286628605
1227,random-150-32.80-0,CP-ADD,150,0,0,0,0,2.0,1800.02,0,0,5655,36093,-1
1228,random-200-20.96-0,CP-ADD,200,0,0,0,0,56.0,1800.05,0,0,697,38196,-1
1229,random-150-6.00-0,CP-ADD,150,0,0,0,0,438.0,1800.0,0,0,1627,8293,-1
1230,random-100-15.00-0,CP-ADD,100,0,0,0,0,72.0,1800.0,0,0,21725,54233,-1
