,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal
1065,random-40-2.00-0,CP-DEL,40,0,0,0,0,0.0,0.04,0,0,1,0,-1
1066,random-10-5.00-0,CP-DEL,10,444.0,0.1,0.4050632911392405,316.0,316.0,1.6,0,0,31533,29770,2.5879043600562587e-05
1067,random-10-3.80-0,CP-DEL,10,451.0,0.1,0.05128205128205128,429.0,429.0,1.79,0,0,38094,33768,2.849002849002849e-06
1068,random-20-5.00-0,CP-DEL,20,705.0,0.3,0.19491525423728814,590.0,590.0,41.27,0,0,292803,420929,7.685499058380414e-05
1069,random-20-2.60-0,CP-DEL,20,0,0,0,0,1062.0,44.5,0,0,83352,71545,-1
1070,random-30-2.60-0,CP-DEL,30,0,0,0,0,1070.0,214.38,0,0,214344,131561,-1
1071,random-30-5.00-0,CP-DEL,30,1454.0,2.39,0.20563847429519072,1206.0,1206.0,256.17,0,0,643583,829196,0.000273042196425281
1072,random-20-7.60-0,CP-DEL,20,695.0,0.08,0.4012096774193548,496.0,496.0,294.86,0,0,1238966,2085070,0.0006549955197132616
1073,random-20-10.00-0,CP-DEL,20,975.0,0.09,1.455919395465995,397.0,397.0,470.84,0,0,1723770,2916587,0.0012611530926392393
1074,random-30-7.60-0,CP-DEL,30,1491.0,0.14,1.0737134909596662,719.0,232.0,1800.08,0,0,2290516,3952427,0.015025336114974502
1075,random-30-10.00-0,CP-DEL,30,1298.0,0.2,0.9938556067588326,651.0,223.0,1800.05,0,0,2367032,4108464,0.0032926523297491044
1076,random-40-4.60-0,CP-DEL,40,0,0,0,0,0.0,1800.0,0,0,183513,369871,-1
1077,random-40-7.00-0,CP-DEL,40,1452.0,7.42,0.16168802166853352,1291.0,332.0,1800.22,0,0,1682154,2442613,0.03912441051943721
1078,random-40-9.60-0,CP-DEL,40,1242.0,2.12,0.4243119266055046,872.0,296.0,1800.16,0,0,1911552,2921030,0.03175440876656474
1079,random-40-12.00-0,CP-DEL,40,1163.0,3.88,0.3813026127443165,850.0,266.0,1800.17,0,0,2319752,4191026,0.014065240212943376
1080,random-50-2.00-0,CP-DEL,50,0,0,0,0,0.0,1800.0,0,0,59251,121423,-1
1081,random-50-4.60-0,CP-DEL,50,0,0,0,0,0.0,1800.0,0,0,55479,114020,-1
1082,random-150-60.00-0,CP-DEL,150,7595.0,1038.53,4.160969876193751,1750.0,0.0,1800.02,0,0,5114,37835,2.53287088094427
1083,random-200-60.00-0,CP-DEL,200,10689.0,107.25,4.458844501560781,2263.0,0.0,1800.06,0,0,4426,53541,0.5676768664852786
1084,random-200-47.12-0,CP-DEL,200,10561.0,686.56,3.6838609244882874,2606.0,0.0,1800.06,0,0,3458,49655,1.501465478599924
1085,random-200-32.00-0,CP-DEL,200,9979.0,82.68,2.957776589368518,9979.0,0.0,1800.08,0,0,1339,43427,2.9577765893685175
1086,random-200-20.96-0,CP-DEL,200,0,0,0,0,0.0,1800.06,0,0,346,40072,-1
1087,random-200-8.00-0,CP-DEL,200,0,0,0,0,0.0,1800.08,0,0,1120,40978,-1
1088,random-50-7.00-0,CP-DEL,50,2053.0,27.93,0.4734324227209674,1401.0,15.0,1800.01,0,0,710203,1440817,0.02105375696237191
1089,random-50-9.60-0,CP-DEL,50,2224.0,1.09,1.0417360388239307,1207.0,271.0,1800.29,0,0,1686970,2414480,0.11004877181172819
1090,random-50-12.00-0,CP-DEL,50,2270.0,1.13,1.3901745667801,997.0,272.0,1800.27,0,0,1542693,2268346,0.06449729979245558
1091,random-60-4.00-0,CP-DEL,60,0,0,0,0,0.0,1800.0,0,0,25057,54115,-1
1092,random-60-6.60-0,CP-DEL,60,0,0,0,0,0.0,1800.0,0,0,25661,55338,-1
1093,random-60-9.00-0,CP-DEL,60,1846.0,31.47,0.28037048649965496,1591.0,17.0,1800.0,0,0,506795,1044887,0.11934508992433186
1094,random-60-11.60-0,CP-DEL,60,1415.0,1.21,0.16488232673914943,1283.0,17.0,1800.01,0,0,707822,1449096,0.07516491477880562
1095,random-60-14.00-0,CP-DEL,60,2739.0,11.5,1.4697208423768657,1183.0,17.0,1800.01,0,0,743277,1532082,0.09929671178010353
1096,random-70-4.00-0,CP-DEL,70,0,0,0,0,0.0,1800.0,0,0,15752,36350,-1
1097,random-70-7.12-0,CP-DEL,70,0,0,0,0,0.0,1800.0,0,0,16467,38073,-1
